time,P-all
12,4.128025299310684
13,1.643690438568592
14,-2.107042557001114
15,-0.16511325836181645
16,2.5858957588672635
17,6.534657573699951
18,2.816992318630218
19,-2.738118766248226
20,-11.333810798823833
21,-6.305572812072933
22,-8.032406981289387
23,7.567549679614603
0,14.158341336250306
1,8.949351283907891
2,8.333195182681084
3,6.2069909304380415
4,11.176992404460908
5,6.9647880524396895
6,5.792430612817407
7,-3.2747638575732707
8,1.1668321922421456
9,-5.027161026000977
10,-4.835458154603839
11,-8.93655514717102
